timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1641991598331,136,HTTP Request,200,OK,oracle 1-68,text,true,,365,164,14,14,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,136,0,0
1641991598366,105,HTTP Request,200,OK,oracle 1-61,text,true,,365,164,14,14,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,105,0,0
1641991598364,108,HTTP Request,200,OK,oracle 1-72,text,true,,365,164,14,14,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,108,0,0
1641991598366,106,HTTP Request,200,OK,oracle 1-53,text,true,,365,164,14,14,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,106,0,0
1641991598350,131,HTTP Request,200,OK,oracle 1-65,text,true,,365,164,14,14,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,131,0,0
1641991598393,95,HTTP Request,200,OK,oracle 1-84,text,true,,365,164,13,13,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,95,0,0
1641991598371,148,HTTP Request,200,OK,oracle 1-70,text,true,,365,164,13,13,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,148,0,0
1641991598403,126,HTTP Request,200,OK,oracle 1-78,text,true,,365,164,13,13,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,126,0,0
1641991598094,450,HTTP Request,200,OK,oracle 1-16,text,true,,365,164,13,13,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,450,0,0
1641991598443,119,HTTP Request,200,OK,oracle 1-63,text,true,,365,164,12,12,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,119,0,0
1641991598338,228,HTTP Request,200,OK,oracle 1-39,text,true,,365,164,12,12,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,228,0,0
1641991598468,98,HTTP Request,200,OK,oracle 1-68,text,true,,365,164,12,12,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,98,0,0
1641991598457,110,HTTP Request,200,OK,oracle 1-77,text,true,,365,164,12,12,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,110,0,0
1641991598472,102,HTTP Request,200,OK,oracle 1-72,text,true,,365,164,10,10,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,102,0,0
1641991598471,104,HTTP Request,200,OK,oracle 1-61,text,true,,365,164,10,10,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,104,0,0
1641991598472,111,HTTP Request,200,OK,oracle 1-53,text,true,,365,164,8,8,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,111,0,0
1641991598488,122,HTTP Request,200,OK,oracle 1-84,text,true,,365,164,8,8,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,122,0,0
1641991598530,107,HTTP Request,200,OK,oracle 1-78,text,true,,365,164,8,8,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,107,0,0
1641991598520,127,HTTP Request,200,OK,oracle 1-70,text,true,,365,164,7,7,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,127,0,0
1641991598583,81,HTTP Request,200,OK,oracle 1-53,text,true,,365,164,6,6,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,81,0,0
1641991598567,103,HTTP Request,200,OK,oracle 1-77,text,true,,365,164,6,6,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,103,0,0
1641991598563,111,HTTP Request,200,OK,oracle 1-63,text,true,,365,164,5,5,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,111,0,0
1641991598168,514,HTTP Request,200,OK,oracle 1-83,text,true,,365,164,5,5,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,514,0,0
1641991598610,107,HTTP Request,200,OK,oracle 1-84,text,true,,365,164,4,4,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,107,0,0
1641991598287,460,HTTP Request,200,OK,oracle 1-3,text,true,,365,164,3,3,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,460,0,0
1641991598675,79,HTTP Request,200,OK,oracle 1-63,text,true,,365,164,2,2,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,79,0,0
1641991598665,155,HTTP Request,200,OK,oracle 1-53,text,true,,365,164,1,1,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,155,0,0
1641991598820,97,HTTP Request,200,OK,oracle 1-53,text,true,,365,164,1,1,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,97,0,0
1641991598917,83,HTTP Request,200,OK,oracle 1-53,text,true,,365,164,1,1,https://ej7guxgo78.execute-api.us-east-2.amazonaws.com/items/2112101,83,0,0
